Year,Geographical Description,ONS Code,Measure Group,Measure Group Description,Measure_Value,Geographical Level,Disaggregation Level,Measure Type
2017-18,Bolton,E08000001,3A,Overall satisfaction of people who use services with their care and support,65.3,Council,Total,Outcome
2017-18,Bournemouth,E06000028,3A,Overall satisfaction of people who use services with their care and support,69.8,Council,Total,Outcome
2017-18,Bracknell Forest,E06000036,3A,Overall satisfaction of people who use services with their care and support,66.7,Council,Total,Outcome
2017-18,Bradford,E08000032,3A,Overall satisfaction of people who use services with their care and support,65.3,Council,Total,Outcome
2017-18,Brent,E09000005,3A,Overall satisfaction of people who use services with their care and support,59.5,Council,Total,Outcome
2017-18,Brighton and Hove,E06000043,3A,Overall satisfaction of people who use services with their care and support,62.1,Council,Total,Outcome
2017-18,Bristol,E06000023,3A,Overall satisfaction of people who use services with their care and support,62.2,Council,Total,Outcome
2017-18,Bromley,E09000006,3A,Overall satisfaction of people who use services with their care and support,59.0,Council,Total,Outcome
2017-18,Buckinghamshire,E10000002,3A,Overall satisfaction of people who use services with their care and support,58.6,Council,Total,Outcome
2017-18,Bury,E08000002,3A,Overall satisfaction of people who use services with their care and support,59.9,Council,Total,Outcome
2017-18,Calderdale,E08000033,3A,Overall satisfaction of people who use services with their care and support,72.0,Council,Total,Outcome
2017-18,Cambridgeshire,E10000003,3A,Overall satisfaction of people who use services with their care and support,63.2,Council,Total,Outcome
2017-18,Camden,E09000007,3A,Overall satisfaction of people who use services with their care and support,58.3,Council,Total,Outcome
2017-18,Central Bedfordshire,E06000056,3A,Overall satisfaction of people who use services with their care and support,66.3,Council,Total,Outcome
2017-18,Cheshire East,E06000049,3A,Overall satisfaction of people who use services with their care and support,72.2,Council,Total,Outcome
2017-18,Cheshire West and Chester,E06000050,3A,Overall satisfaction of people who use services with their care and support,64.2,Council,Total,Outcome
2017-18,Cornwall,E06000052,3A,Overall satisfaction of people who use services with their care and support,69.4,Council,Total,Outcome
2017-18,Coventry,E08000026,3A,Overall satisfaction of people who use services with their care and support,60.1,Council,Total,Outcome
2017-18,Croydon,E09000008,3A,Overall satisfaction of people who use services with their care and support,54.8,Council,Total,Outcome
2017-18,Cumbria,E10000006,3A,Overall satisfaction of people who use services with their care and support,72.1,Council,Total,Outcome
2017-18,Darlington,E06000005,3A,Overall satisfaction of people who use services with their care and support,59.3,Council,Total,Outcome
2017-18,Derby,E06000015,3A,Overall satisfaction of people who use services with their care and support,58.3,Council,Total,Outcome
2017-18,Derbyshire,E10000007,3A,Overall satisfaction of people who use services with their care and support,65.9,Council,Total,Outcome
2017-18,Devon,E10000008,3A,Overall satisfaction of people who use services with their care and support,67.9,Council,Total,Outcome
2017-18,Doncaster,E08000017,3A,Overall satisfaction of people who use services with their care and support,62.2,Council,Total,Outcome
2017-18,Dorset,E10000009,3A,Overall satisfaction of people who use services with their care and support,70.1,Council,Total,Outcome
2017-18,Dudley,E08000027,3A,Overall satisfaction of people who use services with their care and support,63.7,Council,Total,Outcome
2017-18,Durham,E06000047,3A,Overall satisfaction of people who use services with their care and support,66.6,Council,Total,Outcome
2017-18,Ealing,E09000009,3A,Overall satisfaction of people who use services with their care and support,57.8,Council,Total,Outcome
2017-18,East Midlands,E12000004,3A,Overall satisfaction of people who use services with their care and support,63.6,Region,Total,Outcome
2017-18,East Riding of Yorkshire,E06000011,3A,Overall satisfaction of people who use services with their care and support,71.0,Council,Total,Outcome
2017-18,East Sussex,E10000011,3A,Overall satisfaction of people who use services with their care and support,74.0,Council,Total,Outcome
2017-18,Eastern,E12000006,3A,Overall satisfaction of people who use services with their care and support,64.4,Region,Total,Outcome
2017-18,Enfield,E09000010,3A,Overall satisfaction of people who use services with their care and support,62.2,Council,Total,Outcome
2017-18,England,E92000001,3A,Overall satisfaction of people who use services with their care and support,65.0,England,Total,Outcome
2017-18,Essex,E10000012,3A,Overall satisfaction of people who use services with their care and support,66.0,Council,Total,Outcome
2017-18,Gateshead,E08000037,3A,Overall satisfaction of people who use services with their care and support,67.5,Council,Total,Outcome
2017-18,Gloucestershire,E10000013,3A,Overall satisfaction of people who use services with their care and support,63.5,Council,Total,Outcome
2017-18,Greenwich,E09000011,3A,Overall satisfaction of people who use services with their care and support,61.3,Council,Total,Outcome
2017-18,Hackney,E09000012,3A,Overall satisfaction of people who use services with their care and support,59.8,Council,Total,Outcome
2017-18,Halton,E06000006,3A,Overall satisfaction of people who use services with their care and support,69.6,Council,Total,Outcome
2017-18,Hammersmith and Fulham,E09000013,3A,Overall satisfaction of people who use services with their care and support,55.6,Council,Total,Outcome
2017-18,Hampshire,E10000014,3A,Overall satisfaction of people who use services with their care and support,69.5,Council,Total,Outcome
2017-18,Haringey,E09000014,3A,Overall satisfaction of people who use services with their care and support,62.2,Council,Total,Outcome
2017-18,Harrow,E09000015,3A,Overall satisfaction of people who use services with their care and support,56.1,Council,Total,Outcome
2017-18,Hartlepool,E06000001,3A,Overall satisfaction of people who use services with their care and support,67.1,Council,Total,Outcome
2017-18,Havering,E09000016,3A,Overall satisfaction of people who use services with their care and support,60.1,Council,Total,Outcome
2017-18,Herefordshire,E06000019,3A,Overall satisfaction of people who use services with their care and support,72.4,Council,Total,Outcome
2017-18,Hertfordshire,E10000015,3A,Overall satisfaction of people who use services with their care and support,65.3,Council,Total,Outcome
2017-18,Hillingdon,E09000017,3A,Overall satisfaction of people who use services with their care and support,57.2,Council,Total,Outcome
2017-18,Hounslow,E09000018,3A,Overall satisfaction of people who use services with their care and support,60.5,Council,Total,Outcome
2017-18,Inner London,,3A,Overall satisfaction of people who use services with their care and support,57.8,Council type,Total,Outcome
2017-18,Isle of Wight,E06000046,3A,Overall satisfaction of people who use services with their care and support,71.7,Council,Total,Outcome
2017-18,Islington,E09000019,3A,Overall satisfaction of people who use services with their care and support,54.8,Council,Total,Outcome
2017-18,Kensington and Chelsea,E09000020,3A,Overall satisfaction of people who use services with their care and support,53.9,Council,Total,Outcome
2017-18,Kent,E10000016,3A,Overall satisfaction of people who use services with their care and support,63.8,Council,Total,Outcome
2017-18,Kingston upon Hull,E06000010,3A,Overall satisfaction of people who use services with their care and support,67.1,Council,Total,Outcome
2017-18,Kingston upon Thames,E09000021,3A,Overall satisfaction of people who use services with their care and support,59.5,Council,Total,Outcome
2017-18,Kirklees,E08000034,3A,Overall satisfaction of people who use services with their care and support,60.5,Council,Total,Outcome
2017-18,Knowsley,E08000011,3A,Overall satisfaction of people who use services with their care and support,66.4,Council,Total,Outcome
2017-18,Lambeth,E09000022,3A,Overall satisfaction of people who use services with their care and support,56.9,Council,Total,Outcome
2017-18,Lancashire,E10000017,3A,Overall satisfaction of people who use services with their care and support,67.9,Council,Total,Outcome
2017-18,Leeds,E08000035,3A,Overall satisfaction of people who use services with their care and support,62.4,Council,Total,Outcome
2017-18,Leicester,E06000016,3A,Overall satisfaction of people who use services with their care and support,63.9,Council,Total,Outcome
2017-18,Leicestershire,E10000018,3A,Overall satisfaction of people who use services with their care and support,58.3,Council,Total,Outcome
2017-18,Lewisham,E09000023,3A,Overall satisfaction of people who use services with their care and support,57.6,Council,Total,Outcome
2017-18,Lincolnshire,E10000019,3A,Overall satisfaction of people who use services with their care and support,62.5,Council,Total,Outcome
2017-18,Liverpool,E08000012,3A,Overall satisfaction of people who use services with their care and support,83.3,Council,Total,Outcome
2017-18,London,E12000007,3A,Overall satisfaction of people who use services with their care and support,59.3,Region,Total,Outcome
2017-18,Luton,E06000032,3A,Overall satisfaction of people who use services with their care and support,57.6,Council,Total,Outcome
2017-18,Manchester,E08000003,3A,Overall satisfaction of people who use services with their care and support,60.1,Council,Total,Outcome
2017-18,Medway Towns,E06000035,3A,Overall satisfaction of people who use services with their care and support,61.2,Council,Total,Outcome
2017-18,Merton,E09000024,3A,Overall satisfaction of people who use services with their care and support,59.2,Council,Total,Outcome
2017-18,Metropolitan Districts,,3A,Overall satisfaction of people who use services with their care and support,65.5,Council type,Total,Outcome
2017-18,Middlesbrough,E06000002,3A,Overall satisfaction of people who use services with their care and support,73.1,Council,Total,Outcome
2017-18,Milton Keynes,E06000042,3A,Overall satisfaction of people who use services with their care and support,64.4,Council,Total,Outcome
2017-18,Newcastle upon Tyne,E08000021,3A,Overall satisfaction of people who use services with their care and support,68.3,Council,Total,Outcome
2017-18,Newham,E09000025,3A,Overall satisfaction of people who use services with their care and support,58.1,Council,Total,Outcome
2017-18,Norfolk,E10000020,3A,Overall satisfaction of people who use services with their care and support,63.8,Council,Total,Outcome
2017-18,North East,E12000001,3A,Overall satisfaction of people who use services with their care and support,67.9,Region,Total,Outcome
2017-18,North East Lincolnshire,E06000012,3A,Overall satisfaction of people who use services with their care and support,59.5,Council,Total,Outcome
2017-18,North Lincolnshire,E06000013,3A,Overall satisfaction of people who use services with their care and support,68.9,Council,Total,Outcome
2017-18,North Somerset,E06000024,3A,Overall satisfaction of people who use services with their care and support,64.6,Council,Total,Outcome
2017-18,North Tyneside,E08000022,3A,Overall satisfaction of people who use services with their care and support,59.5,Council,Total,Outcome
2017-18,North West,E12000002,3A,Overall satisfaction of people who use services with their care and support,67.9,Region,Total,Outcome
2017-18,North Yorkshire,E10000023,3A,Overall satisfaction of people who use services with their care and support,67.6,Council,Total,Outcome
2017-18,Northamptonshire,E10000021,3A,Overall satisfaction of people who use services with their care and support,67.7,Council,Total,Outcome
2017-18,Northumberland,E06000057,3A,Overall satisfaction of people who use services with their care and support,69.6,Council,Total,Outcome
2017-18,Nottingham,E06000018,3A,Overall satisfaction of people who use services with their care and support,62.6,Council,Total,Outcome
2017-18,Nottinghamshire,E10000024,3A,Overall satisfaction of people who use services with their care and support,64.9,Council,Total,Outcome
2017-18,Oldham,E08000004,3A,Overall satisfaction of people who use services with their care and support,64.8,Council,Total,Outcome
2017-18,Outer London,,3A,Overall satisfaction of people who use services with their care and support,60.3,Council type,Total,Outcome
2017-18,Oxfordshire,E10000025,3A,Overall satisfaction of people who use services with their care and support,72.4,Council,Total,Outcome
2017-18,Peterborough,E06000031,3A,Overall satisfaction of people who use services with their care and support,65.8,Council,Total,Outcome
2017-18,Plymouth,E06000026,3A,Overall satisfaction of people who use services with their care and support,72.0,Council,Total,Outcome
2017-18,Poole,E06000029,3A,Overall satisfaction of people who use services with their care and support,60.2,Council,Total,Outcome
2017-18,Portsmouth,E06000044,3A,Overall satisfaction of people who use services with their care and support,62.9,Council,Total,Outcome
2017-18,Reading,E06000038,3A,Overall satisfaction of people who use services with their care and support,59.7,Council,Total,Outcome
2017-18,Redbridge,E09000026,3A,Overall satisfaction of people who use services with their care and support,76.3,Council,Total,Outcome
2017-18,Redcar and Cleveland,E06000003,3A,Overall satisfaction of people who use services with their care and support,67.4,Council,Total,Outcome
2017-18,Richmond upon Thames,E09000027,3A,Overall satisfaction of people who use services with their care and support,61.0,Council,Total,Outcome
2017-18,Rochdale,E08000005,3A,Overall satisfaction of people who use services with their care and support,76.1,Council,Total,Outcome
2017-18,Rotherham,E08000018,3A,Overall satisfaction of people who use services with their care and support,66.3,Council,Total,Outcome
2017-18,Rutland,E06000017,3A,Overall satisfaction of people who use services with their care and support,77.0,Council,Total,Outcome
2017-18,Salford,E08000006,3A,Overall satisfaction of people who use services with their care and support,67.3,Council,Total,Outcome
2017-18,Sandwell,E08000028,3A,Overall satisfaction of people who use services with their care and support,66.9,Council,Total,Outcome
2017-18,Sefton,E08000014,3A,Overall satisfaction of people who use services with their care and support,68.8,Council,Total,Outcome
2017-18,Sheffield,E08000019,3A,Overall satisfaction of people who use services with their care and support,61.4,Council,Total,Outcome
2017-18,Shire Counties,,3A,Overall satisfaction of people who use services with their care and support,66.1,Council type,Total,Outcome
2017-18,Shropshire,E06000051,3A,Overall satisfaction of people who use services with their care and support,68.7,Council,Total,Outcome
2017-18,Slough,E06000039,3A,Overall satisfaction of people who use services with their care and support,62.3,Council,Total,Outcome
2017-18,Solihull,E08000029,3A,Overall satisfaction of people who use services with their care and support,56.3,Council,Total,Outcome
2017-18,Somerset,E10000027,3A,Overall satisfaction of people who use services with their care and support,63.2,Council,Total,Outcome
2017-18,South East,E12000008,3A,Overall satisfaction of people who use services with their care and support,65.9,Region,Total,Outcome
2017-18,South Gloucestershire,E06000025,3A,Overall satisfaction of people who use services with their care and support,70.2,Council,Total,Outcome
2017-18,South Tyneside,E08000023,3A,Overall satisfaction of people who use services with their care and support,65.2,Council,Total,Outcome
2017-18,South West,E12000009,3A,Overall satisfaction of people who use services with their care and support,67.3,Region,Total,Outcome
2017-18,Southampton,E06000045,3A,Overall satisfaction of people who use services with their care and support,67.1,Council,Total,Outcome
2017-18,Southend-on-Sea,E06000033,3A,Overall satisfaction of people who use services with their care and support,64.2,Council,Total,Outcome
2017-18,Southwark,E09000028,3A,Overall satisfaction of people who use services with their care and support,56.6,Council,Total,Outcome
2017-18,St. Helens,E08000013,3A,Overall satisfaction of people who use services with their care and support,65.6,Council,Total,Outcome
2017-18,Staffordshire,E10000028,3A,Overall satisfaction of people who use services with their care and support,66.6,Council,Total,Outcome
2017-18,Stockport,E08000007,3A,Overall satisfaction of people who use services with their care and support,65.8,Council,Total,Outcome
2017-18,Stockton-on-Tees,E06000004,3A,Overall satisfaction of people who use services with their care and support,70.6,Council,Total,Outcome
2017-18,Stoke-on-Trent,E06000021,3A,Overall satisfaction of people who use services with their care and support,66.8,Council,Total,Outcome
2017-18,Suffolk,E10000029,3A,Overall satisfaction of people who use services with their care and support,67.4,Council,Total,Outcome
2017-18,Sunderland,E08000024,3A,Overall satisfaction of people who use services with their care and support,75.6,Council,Total,Outcome
2017-18,Surrey,E10000030,3A,Overall satisfaction of people who use services with their care and support,67.7,Council,Total,Outcome
2017-18,Sutton,E09000029,3A,Overall satisfaction of people who use services with their care and support,62.4,Council,Total,Outcome
2017-18,Swindon,E06000030,3A,Overall satisfaction of people who use services with their care and support,65.2,Council,Total,Outcome
2017-18,Tameside,E08000008,3A,Overall satisfaction of people who use services with their care and support,63.6,Council,Total,Outcome
2017-18,Telford and the Wrekin,E06000020,3A,Overall satisfaction of people who use services with their care and support,64.1,Council,Total,Outcome
2017-18,Thurrock,E06000034,3A,Overall satisfaction of people who use services with their care and support,47.3,Council,Total,Outcome
2017-18,Torbay,E06000027,3A,Overall satisfaction of people who use services with their care and support,69.2,Council,Total,Outcome
2017-18,Tower Hamlets,E09000030,3A,Overall satisfaction of people who use services with their care and support,58.8,Council,Total,Outcome
2017-18,Trafford,E08000009,3A,Overall satisfaction of people who use services with their care and support,62.9,Council,Total,Outcome
2017-18,Unitary Authorities,,3A,Overall satisfaction of people who use services with their care and support,66.3,Council type,Total,Outcome
2017-18,Wakefield,E08000036,3A,Overall satisfaction of people who use services with their care and support,69.4,Council,Total,Outcome
2017-18,Walsall,E08000030,3A,Overall satisfaction of people who use services with their care and support,64.7,Council,Total,Outcome
2017-18,Waltham Forest,E09000031,3A,Overall satisfaction of people who use services with their care and support,51.2,Council,Total,Outcome
2017-18,Wandsworth,E09000032,3A,Overall satisfaction of people who use services with their care and support,59.0,Council,Total,Outcome
2017-18,Warrington,E06000007,3A,Overall satisfaction of people who use services with their care and support,64.8,Council,Total,Outcome
2017-18,Warwickshire,E10000031,3A,Overall satisfaction of people who use services with their care and support,66.2,Council,Total,Outcome
2017-18,West Berkshire,E06000037,3A,Overall satisfaction of people who use services with their care and support,62.2,Council,Total,Outcome
2017-18,West Midlands,E12000005,3A,Overall satisfaction of people who use services with their care and support,65.2,Region,Total,Outcome
2017-18,West Sussex,E10000032,3A,Overall satisfaction of people who use services with their care and support,58.9,Council,Total,Outcome
2017-18,Westminster,E09000033,3A,Overall satisfaction of people who use services with their care and support,58.5,Council,Total,Outcome
2017-18,Wigan,E08000010,3A,Overall satisfaction of people who use services with their care and support,65.9,Council,Total,Outcome
2017-18,Wiltshire,E06000054,3A,Overall satisfaction of people who use services with their care and support,71.8,Council,Total,Outcome
2017-18,Windsor and Maidenhead,E06000040,3A,Overall satisfaction of people who use services with their care and support,68.3,Council,Total,Outcome
2017-18,Wirral,E08000015,3A,Overall satisfaction of people who use services with their care and support,67.2,Council,Total,Outcome
2017-18,Wokingham,E06000041,3A,Overall satisfaction of people who use services with their care and support,63.9,Council,Total,Outcome
2017-18,Wolverhampton,E08000031,3A,Overall satisfaction of people who use services with their care and support,61.0,Council,Total,Outcome
2017-18,Worcestershire,E10000034,3A,Overall satisfaction of people who use services with their care and support,70.7,Council,Total,Outcome
2017-18,York,E06000014,3A,Overall satisfaction of people who use services with their care and support,62.9,Council,Total,Outcome
2017-18,Yorkshire and the Humber,E12000003,3A,Overall satisfaction of people who use services with their care and support,65.0,Region,Total,Outcome
2017-18,Barking and Dagenham,E09000002,3D1,The proportion of people who use services who find it easy to find information about support,68.9,Council,Total,Outcome
2017-18,Barnet,E09000003,3D1,The proportion of people who use services who find it easy to find information about support,69.1,Council,Total,Outcome
2017-18,Barnsley,E08000016,3D1,The proportion of people who use services who find it easy to find information about support,73.1,Council,Total,Outcome
2017-18,Bath and North East Somerset,E06000022,3D1,The proportion of people who use services who find it easy to find information about support,75.8,Council,Total,Outcome
2017-18,Bedford,E06000055,3D1,The proportion of people who use services who find it easy to find information about support,75.2,Council,Total,Outcome
2017-18,Bexley,E09000004,3D1,The proportion of people who use services who find it easy to find information about support,75.0,Council,Total,Outcome
2017-18,Birmingham,E08000025,3D1,The proportion of people who use services who find it easy to find information about support,74.5,Council,Total,Outcome
2017-18,Blackburn with Darwen,E06000008,3D1,The proportion of people who use services who find it easy to find information about support,79.6,Council,Total,Outcome
2017-18,Blackpool,E06000009,3D1,The proportion of people who use services who find it easy to find information about support,78.8,Council,Total,Outcome
2017-18,Bolton,E08000001,3D1,The proportion of people who use services who find it easy to find information about support,73.0,Council,Total,Outcome
2017-18,Bournemouth,E06000028,3D1,The proportion of people who use services who find it easy to find information about support,78.5,Council,Total,Outcome
2017-18,Bracknell Forest,E06000036,3D1,The proportion of people who use services who find it easy to find information about support,74.1,Council,Total,Outcome
2017-18,Bradford,E08000032,3D1,The proportion of people who use services who find it easy to find information about support,72.3,Council,Total,Outcome
2017-18,Brent,E09000005,3D1,The proportion of people who use services who find it easy to find information about support,68.6,Council,Total,Outcome
2017-18,Brighton and Hove,E06000043,3D1,The proportion of people who use services who find it easy to find information about support,70.5,Council,Total,Outcome
2017-18,Bristol,E06000023,3D1,The proportion of people who use services who find it easy to find information about support,76.6,Council,Total,Outcome
2017-18,Bromley,E09000006,3D1,The proportion of people who use services who find it easy to find information about support,67.0,Council,Total,Outcome
2017-18,Buckinghamshire,E10000002,3D1,The proportion of people who use services who find it easy to find information about support,69.1,Council,Total,Outcome
2017-18,Bury,E08000002,3D1,The proportion of people who use services who find it easy to find information about support,69.2,Council,Total,Outcome
2017-18,Calderdale,E08000033,3D1,The proportion of people who use services who find it easy to find information about support,74.9,Council,Total,Outcome
2017-18,Cambridgeshire,E10000003,3D1,The proportion of people who use services who find it easy to find information about support,70.8,Council,Total,Outcome
2017-18,Camden,E09000007,3D1,The proportion of people who use services who find it easy to find information about support,74.0,Council,Total,Outcome
2017-18,Central Bedfordshire,E06000056,3D1,The proportion of people who use services who find it easy to find information about support,75.5,Council,Total,Outcome
2017-18,Cheshire East,E06000049,3D1,The proportion of people who use services who find it easy to find information about support,72.0,Council,Total,Outcome
2017-18,Cheshire West and Chester,E06000050,3D1,The proportion of people who use services who find it easy to find information about support,74.6,Council,Total,Outcome
2017-18,Cornwall,E06000052,3D1,The proportion of people who use services who find it easy to find information about support,70.5,Council,Total,Outcome
2017-18,Coventry,E08000026,3D1,The proportion of people who use services who find it easy to find information about support,68.5,Council,Total,Outcome
2017-18,Croydon,E09000008,3D1,The proportion of people who use services who find it easy to find information about support,71.6,Council,Total,Outcome
2017-18,Cumbria,E10000006,3D1,The proportion of people who use services who find it easy to find information about support,76.9,Council,Total,Outcome
2017-18,Darlington,E06000005,3D1,The proportion of people who use services who find it easy to find information about support,80.6,Council,Total,Outcome
2017-18,Derby,E06000015,3D1,The proportion of people who use services who find it easy to find information about support,63.0,Council,Total,Outcome
2017-18,Derbyshire,E10000007,3D1,The proportion of people who use services who find it easy to find information about support,75.5,Council,Total,Outcome
2017-18,Devon,E10000008,3D1,The proportion of people who use services who find it easy to find information about support,69.9,Council,Total,Outcome
2017-18,Doncaster,E08000017,3D1,The proportion of people who use services who find it easy to find information about support,76.3,Council,Total,Outcome
2017-18,Dorset,E10000009,3D1,The proportion of people who use services who find it easy to find information about support,72.7,Council,Total,Outcome
2017-18,Dudley,E08000027,3D1,The proportion of people who use services who find it easy to find information about support,75.3,Council,Total,Outcome
2017-18,Durham,E06000047,3D1,The proportion of people who use services who find it easy to find information about support,82.6,Council,Total,Outcome
2017-18,Ealing,E09000009,3D1,The proportion of people who use services who find it easy to find information about support,69.4,Council,Total,Outcome
2017-18,East Midlands,E12000004,3D1,The proportion of people who use services who find it easy to find information about support,72.0,Region,Total,Outcome
2017-18,East Riding of Yorkshire,E06000011,3D1,The proportion of people who use services who find it easy to find information about support,78.9,Council,Total,Outcome
2017-18,East Sussex,E10000011,3D1,The proportion of people who use services who find it easy to find information about support,78.6,Council,Total,Outcome
2017-18,Eastern,E12000006,3D1,The proportion of people who use services who find it easy to find information about support,72.2,Region,Total,Outcome
2017-18,Enfield,E09000010,3D1,The proportion of people who use services who find it easy to find information about support,74.7,Council,Total,Outcome
2017-18,England,E92000001,3D1,The proportion of people who use services who find it easy to find information about support,73.3,England,Total,Outcome
2017-18,Essex,E10000012,3D1,The proportion of people who use services who find it easy to find information about support,69.0,Council,Total,Outcome
2017-18,Gateshead,E08000037,3D1,The proportion of people who use services who find it easy to find information about support,76.2,Council,Total,Outcome
2017-18,Gloucestershire,E10000013,3D1,The proportion of people who use services who find it easy to find information about support,74.4,Council,Total,Outcome
2017-18,Greenwich,E09000011,3D1,The proportion of people who use services who find it easy to find information about support,69.1,Council,Total,Outcome
2017-18,Hackney,E09000012,3D1,The proportion of people who use services who find it easy to find information about support,69.0,Council,Total,Outcome
2017-18,Halton,E06000006,3D1,The proportion of people who use services who find it easy to find information about support,79.1,Council,Total,Outcome
2017-18,Hammersmith and Fulham,E09000013,3D1,The proportion of people who use services who find it easy to find information about support,66.5,Council,Total,Outcome
2017-18,Hampshire,E10000014,3D1,The proportion of people who use services who find it easy to find information about support,74.6,Council,Total,Outcome
2017-18,Haringey,E09000014,3D1,The proportion of people who use services who find it easy to find information about support,73.1,Council,Total,Outcome
2017-18,Harrow,E09000015,3D1,The proportion of people who use services who find it easy to find information about support,64.7,Council,Total,Outcome
2017-18,Hartlepool,E06000001,3D1,The proportion of people who use services who find it easy to find information about support,80.4,Council,Total,Outcome
2017-18,Havering,E09000016,3D1,The proportion of people who use services who find it easy to find information about support,73.8,Council,Total,Outcome
2017-18,Herefordshire,E06000019,3D1,The proportion of people who use services who find it easy to find information about support,69.0,Council,Total,Outcome
2017-18,Hertfordshire,E10000015,3D1,The proportion of people who use services who find it easy to find information about support,73.0,Council,Total,Outcome
2017-18,Hillingdon,E09000017,3D1,The proportion of people who use services who find it easy to find information about support,71.7,Council,Total,Outcome
2017-18,Hounslow,E09000018,3D1,The proportion of people who use services who find it easy to find information about support,68.0,Council,Total,Outcome
2017-18,Inner London,,3D1,The proportion of people who use services who find it easy to find information about support,68.5,Council type,Total,Outcome
2017-18,Isle of Wight,E06000046,3D1,The proportion of people who use services who find it easy to find information about support,73.1,Council,Total,Outcome
2017-18,Islington,E09000019,3D1,The proportion of people who use services who find it easy to find information about support,66.4,Council,Total,Outcome
2017-18,Kensington and Chelsea,E09000020,3D1,The proportion of people who use services who find it easy to find information about support,64.8,Council,Total,Outcome
2017-18,Kent,E10000016,3D1,The proportion of people who use services who find it easy to find information about support,73.7,Council,Total,Outcome
2017-18,Kingston upon Hull,E06000010,3D1,The proportion of people who use services who find it easy to find information about support,71.6,Council,Total,Outcome
2017-18,Kingston upon Thames,E09000021,3D1,The proportion of people who use services who find it easy to find information about support,73.1,Council,Total,Outcome
2017-18,Kirklees,E08000034,3D1,The proportion of people who use services who find it easy to find information about support,72.2,Council,Total,Outcome
2017-18,Knowsley,E08000011,3D1,The proportion of people who use services who find it easy to find information about support,75.2,Council,Total,Outcome
2017-18,Lambeth,E09000022,3D1,The proportion of people who use services who find it easy to find information about support,64.2,Council,Total,Outcome
2017-18,Lancashire,E10000017,3D1,The proportion of people who use services who find it easy to find information about support,74.1,Council,Total,Outcome
2017-18,Leeds,E08000035,3D1,The proportion of people who use services who find it easy to find information about support,74.1,Council,Total,Outcome
2017-18,Leicester,E06000016,3D1,The proportion of people who use services who find it easy to find information about support,70.5,Council,Total,Outcome
2017-18,Leicestershire,E10000018,3D1,The proportion of people who use services who find it easy to find information about support,68.6,Council,Total,Outcome
2017-18,Lewisham,E09000023,3D1,The proportion of people who use services who find it easy to find information about support,73.6,Council,Total,Outcome
2017-18,Lincolnshire,E10000019,3D1,The proportion of people who use services who find it easy to find information about support,74.0,Council,Total,Outcome
2017-18,Liverpool,E08000012,3D1,The proportion of people who use services who find it easy to find information about support,85.0,Council,Total,Outcome
2017-18,London,E12000007,3D1,The proportion of people who use services who find it easy to find information about support,70.1,Region,Total,Outcome
2017-18,Luton,E06000032,3D1,The proportion of people who use services who find it easy to find information about support,71.2,Council,Total,Outcome
2017-18,Manchester,E08000003,3D1,The proportion of people who use services who find it easy to find information about support,69.6,Council,Total,Outcome
2017-18,Medway Towns,E06000035,3D1,The proportion of people who use services who find it easy to find information about support,73.6,Council,Total,Outcome
2017-18,Merton,E09000024,3D1,The proportion of people who use services who find it easy to find information about support,70.3,Council,Total,Outcome
2017-18,Metropolitan Districts,,3D1,The proportion of people who use services who find it easy to find information about support,74.1,Council type,Total,Outcome
2017-18,Middlesbrough,E06000002,3D1,The proportion of people who use services who find it easy to find information about support,80.7,Council,Total,Outcome
2017-18,Milton Keynes,E06000042,3D1,The proportion of people who use services who find it easy to find information about support,73.7,Council,Total,Outcome
2017-18,Newcastle upon Tyne,E08000021,3D1,The proportion of people who use services who find it easy to find information about support,72.1,Council,Total,Outcome
2017-18,Newham,E09000025,3D1,The proportion of people who use services who find it easy to find information about support,69.4,Council,Total,Outcome
2017-18,Norfolk,E10000020,3D1,The proportion of people who use services who find it easy to find information about support,72.2,Council,Total,Outcome
2017-18,North East,E12000001,3D1,The proportion of people who use services who find it easy to find information about support,79.9,Region,Total,Outcome
2017-18,North East Lincolnshire,E06000012,3D1,The proportion of people who use services who find it easy to find information about support,81.3,Council,Total,Outcome
2017-18,North Lincolnshire,E06000013,3D1,The proportion of people who use services who find it easy to find information about support,78.6,Council,Total,Outcome
2017-18,North Somerset,E06000024,3D1,The proportion of people who use services who find it easy to find information about support,72.5,Council,Total,Outcome
2017-18,North Tyneside,E08000022,3D1,The proportion of people who use services who find it easy to find information about support,82.6,Council,Total,Outcome
2017-18,North West,E12000002,3D1,The proportion of people who use services who find it easy to find information about support,74.6,Region,Total,Outcome
2017-18,North Yorkshire,E10000023,3D1,The proportion of people who use services who find it easy to find information about support,73.2,Council,Total,Outcome
2017-18,Northamptonshire,E10000021,3D1,The proportion of people who use services who find it easy to find information about support,73.1,Council,Total,Outcome
2017-18,Northumberland,E06000057,3D1,The proportion of people who use services who find it easy to find information about support,80.2,Council,Total,Outcome
2017-18,Nottingham,E06000018,3D1,The proportion of people who use services who find it easy to find information about support,69.8,Council,Total,Outcome
2017-18,Nottinghamshire,E10000024,3D1,The proportion of people who use services who find it easy to find information about support,73.1,Council,Total,Outcome
2017-18,Oldham,E08000004,3D1,The proportion of people who use services who find it easy to find information about support,63.6,Council,Total,Outcome
2017-18,Outer London,,3D1,The proportion of people who use services who find it easy to find information about support,71.2,Council type,Total,Outcome
